src,dst,add_st,mul_st
28,15,2,2.0
28,16,0,1.0
28,17,0,1.0
28,18,1,1.3333333333333333
28,19,1,1.3333333333333333
28,20,0,1.0
28,21,0,1.0
28,22,0,1.0
28,23,-1,0.8
28,24,-1,0.75
28,25,-1,0.75
28,26,0,1.0
28,27,-1,0.75
28,29,-1,0.8
28,30,-1,0.75
28,31,1,1.3333333333333333
28,32,-1,0.75
29,1,1,1.3333333333333333
29,2,-1,0.75
29,3,-1,0.75
29,4,0,1.0
29,5,1,1.3333333333333333
29,6,0,1.0
29,7,-2,0.5
29,8,-1,0.75
29,9,1,1.25
29,10,2,2.0
29,11,1,1.5
29,12,1,1.25
29,13,0,1.0
29,14,-1,0.75
29,15,1,1.25
29,16,0,1.0
29,17,1,1.25
29,18,-1,0.8
29,19,0,1.0
29,20,-2,0.6
29,21,0,1.0
29,22,1,1.25
29,23,-3,0.4
29,24,0,1.0
29,25,-1,0.8
29,26,0,1.0
29,27,-1,0.8
29,28,-1,0.8
29,30,-1,0.75
29,31,-1,0.8
29,32,-2,0.6
30,1,0,1.0
30,2,-1,0.75
30,3,0,1.0
30,4,-1,0.75
30,5,-1,0.75
30,6,-1,0.75
30,7,-1,0.6666666666666666
30,8,0,1.0
30,9,-1,0.75
30,10,1,1.3333333333333333
30,11,-2,0.6
30,12,1,1.3333333333333333
30,13,-1,0.75
30,14,-1,0.75
30,15,1,1.3333333333333333
30,16,-1,0.8
30,17,-2,0.6
30,18,0,1.0
30,19,0,1.0
30,20,0,1.0
30,21,-2,0.6
30,22,-2,0.6
30,23,-1,0.8
30,24,-2,0.6
30,25,-1,0.8
30,26,1,1.5
30,27,-1,0.75
30,28,-1,0.75
30,29,-1,0.75
30,31,0,1.0
30,32,-1,0.75
31,1,0,1.0
31,2,1,1.5
31,3,2,2.0
31,4,-1,0.6666666666666666
31,5,0,1.0
31,6,0,1.0
31,7,0,1.0
31,8,0,1.0
31,9,0,1.0
31,10,0,1.0
31,11,-1,0.75
31,12,1,1.3333333333333333
31,13,1,1.3333333333333333
31,14,0,1.0
31,15,1,1.3333333333333333
31,16,-1,0.75
31,17,-1,0.6666666666666666
31,18,-1,0.75
31,19,-1,0.75
